activity_id,name,start_date,sport_type,distance,workout_time_min,calories,total_elevation_gain,start_lat,start_long,end_lat,end_long,average_speed_km/h,max_speed_km/h,average_temp,average_heartrate,max_heartrate,avg_time_per_lap,lap_count,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_time_per_lap_score,lap_count_score,avg_speed_score,max_speed_score,effort_score,effort_score_label,effort_score_rank
8600850460,Afternoon Mountain Bike Ride,2023-02-21,MountainBikeRide,14.01,76.98,571,187,30.40132885,-97.68461868,30.40147377,-97.68483234,13.41,29.97,31,133.2,166,38.49,2,20,50,50,10,15,25,20,5,15,20,230,High Effort,4
8600932618,Afternoon Workout,2023-02-21,Functional-Cardio Workout,0,16.6,218,0,,NaN,,NaN,0,0,31,153.7,173,3.31,5,1,10,25,1,20,25,1,25,1,1,110,Low Effort,2
8594917333,Weighted Run,2023-02-20,Run,6.08,43.68,524,91,30.38891751,-97.73592129,30.38914575,-97.73582859,8.3664,13.3812,31,158.2,174,6.228571429,7,10,35,50,5,30,25,5,35,15,15,225,High Effort,4
8587870096,Morning Workout,2023-02-19,Functional-Cardio Workout,0,19.68,209,0,,NaN,,NaN,0,0,24,141.1,171,3.926,5,1,10,25,1,15,25,1,25,1,1,105,Low Effort,2
8587667353,Weighted Run,2023-02-19,Run,6.13,41.67,485,82,30.38854619,-97.73615305,30.38905682,-97.73590034,8.838,15.3792,17,145.4,167,5.942857143,7,10,35,40,5,20,25,5,35,15,20,210,High Effort,4
8578513389,Afternoon Mountain Bike Ride,2023-02-17,MountainBikeRide,6.63,59.43,226,103,30.40111536,-97.68433655,30.40118401,-97.68444434,11.34,27.1152,19,109,133,59.43,1,10,45,25,10,10,15,20,5,10,20,170,High Effort,4
8573739485,Afternoon Run,2023-02-16,Run,5.02,33.63,394,53,30.38702991,-97.73675521,30.38809248,-97.73673627,10.206,15.5628,16,150.9,166,5.598333333,6,10,25,35,5,20,25,5,35,30,20,210,High Effort,4
8567397324,Afternoon Workout,2023-02-15,Functional-Cardio Workout,0,43.3,416,0,,NaN,,NaN,0,0,30,140.8,186,7.21,6,1,35,40,1,15,35,5,35,1,1,169,High Effort,4
8562727659,Afternoon Mountain Bike Ride,2023-02-14,MountainBikeRide,14.05,79.17,574,190,30.40157226,-97.68538202,30.40122047,-97.68444484,13.3956,26.2584,26,130.5,161,39.57,2,20,50,50,10,15,15,20,5,15,20,220,High Effort,4
8556464236,Afternoon Workout,2023-02-13,Functional-Cardio Workout,0,30.8,337,0,,NaN,,NaN,0,0,27,147.1,173,6.148,5,1,25,35,1,20,25,5,25,1,1,139,Medium Effort,3
8545358774,Afternoon Mountain Bike Ride,2023-02-11,MountainBikeRide,12.48,72.77,418,142,30.50565572,-97.7825282,30.50515188,-97.78260564,13.2696,33.8688,21,117.6,150,36.375,2,20,50,40,10,10,15,20,5,15,25,210,High Effort,4
8538434119,Morning Trail Run,2023-02-10,TrailRun,6,88.95,546,346,30.27398813,-97.82550364,30.27507819,-97.82482428,5.8752,14.0688,19,137.6,177,17.782,5,10,50,50,20,15,30,10,25,10,15,235,High Effort,4
8534745466,Afternoon Workout,2023-02-09,Functional-Cardio Workout,0,52.23,462,0,,NaN,,NaN,0,0,26,136.8,189,8.698333333,6,1,0,40,1,15,35,5,35,1,1,134,Medium Effort,3
8529443857,Afternoon Mountain Bike Ride,2023-02-08,MountainBikeRide,12.17,57.07,403,158,30.40139297,-97.68446957,30.40141845,-97.68477593,13.4028,34.5168,19,119.9,140,28.5,2,20,45,40,10,10,15,15,5,15,25,200,High Effort,4
8522824035,Murphesk wod,2023-02-07,Functional-Cardio Workout,0,58.52,562,0,,NaN,,NaN,0,0,26,141.2,169,14.62,4,1,45,50,1,15,25,10,20,1,1,169,High Effort,4
